race,sex,false_positive_rate,false_negative_rate
African-American,Female,0.25153374233128833,0.11349693251533742
African-American,Male,0.21057818659658345,0.1504599211563732
Asian,Female,0.0,0.5
Asian,Male,0.06666666666666667,0.06666666666666667
Caucasian,Female,0.19576719576719576,0.15167548500881833
Caucasian,Male,0.12612612612612611,0.1987281399046105
Hispanic,Female,0.06796116504854369,0.23300970873786409
Hispanic,Male,0.149812734082397,0.19662921348314608
Native American,Female,0.0,0.0
Native American,Male,0.21428571428571427,0.07142857142857142
Other,Female,0.08955223880597014,0.14925373134328357
Other,Male,0.0967741935483871,0.25806451612903225
